order_id,order_date,product_category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue_gross,revenue_net,region,sales_channel,payment_method,customer_type,sales_rep,order_status
DH1014,2025-01-01,Điện tử,Sạc dự phòng,249000,3,5,37350,747000,709650,Nha Trang,Online - Tiki,COD,Khách mới,Hoàng Thị Hoa,Hoàn tất
DH1094,2025-01-01,Điện tử,Webcam HD,249000,14,10,348600,3486000,3137400,Nha Trang,Facebook/Zalo,Ví điện tử (Momo/ZaloPay),Khách thân thiết,Nguyễn Văn An,Hoàn tất
DH1085,2025-01-01,Thời trang,Áo sơ mi nữ,399000,2,0,0,798000,798000,Cần Thơ,Cửa hàng trực tiếp,COD,Khách thân thiết,Lê Minh Châu,Hoàn tất
DH1049,2025-01-01,Sách & VPP,Sách kỹ năng sống,159000,7,10,111300,1113000,1001700,Đà Nẵng,Online - Tiki,Chuyển khoản,Khách thân thiết,Hoàng Thị Hoa,Đã hủy
DH1080,2025-01-04,Thời trang,Mũ lưỡi trai,999000,8,0,0,7992000,7992000,Hải Phòng,Online - Tiki,Ví điện tử (Momo/ZaloPay),Khách thân thiết,Phạm Quốc Đạt,Hoàn tất
DH1096,2025-01-08,Gia dụng,Đèn bàn LED,799000,8,0,0,6392000,6392000,Nha Trang,Facebook/Zalo,Chuyển khoản,Khách VIP,Trần Thị Bích,Hoàn tất
DH1072,2025-01-08,Sách & VPP,Sách kỹ năng sống,599000,7,0,0,4193000,4193000,Cần Thơ,Online - Tiki,Chuyển khoản,Khách thân thiết,Trần Thị Bích,Hoàn tất
DH1030,2025-01-11,Điện tử,Bàn phím cơ,129000,10,10,129000,1290000,1161000,Hải Phòng,Online - Shopee,Ví điện tử (Momo/ZaloPay),Khách VIP,Hoàng Thị Hoa,Đã hủy
DH1023,2025-01-14,Thực phẩm,Snack khoai tây,299000,14,15,627900,4186000,3558100,Nha Trang,Online - Shopee,Thẻ tín dụng,Khách thân thiết,Vũ Đức Huy,Hoàn tất
DH1064,2025-01-14,Điện tử,Chuột không dây,49000,12,10,58800,588000,529200,Đà Nẵng,Online - Lazada,Thẻ tín dụng,Khách VIP,Nguyễn Văn An,Hoàn tất
DH1043,2025-01-18,Thời trang,Giày sneaker,199000,5,20,199000,995000,796000,Đà Nẵng,Online - Tiki,COD,Khách thân thiết,Vũ Đức Huy,Đã hủy
DH1099,2025-01-18,Thời trang,Túi xách,399000,12,0,0,4788000,4788000,Đà Nẵng,Cửa hàng trực tiếp,Tiền mặt,Khách VIP,Lê Minh Châu,Hoàn tất
DH1052,2025-01-19,Điện tử,Loa mini,299000,10,20,598000,2990000,2392000,Cần Thơ,Cửa hàng trực tiếp,COD,Khách mới,Vũ Đức Huy,Đang xử lý
DH1032,2025-01-19,Gia dụng,Đèn bàn LED,199000,15,20,597000,2985000,2388000,Hồ Chí Minh,Cửa hàng trực tiếp,COD,Khách VIP,Nguyễn Văn An,Hoàn tất
DH1005,2025-01-21,Thực phẩm,Mì gói cao cấp,79000,15,5,59250,1185000,1125750,Hải Phòng,Online - Tiki,COD,Khách thân thiết,Hoàng Thị Hoa,Hoàn tất
DH1084,2025-01-26,Sách & VPP,Sách kỹ năng sống,49000,10,15,73500,490000,416500,Hà Nội,Online - Lazada,Tiền mặt,Khách VIP,Nguyễn Văn An,Hoàn tất
DH1081,2025-01-30,Thời trang,Áo thun nam,159000,14,5,111300,2226000,2114700,Hồ Chí Minh,Cửa hàng trực tiếp,Ví điện tử (Momo/ZaloPay),Khách mới,Hoàng Thị Hoa,Đang xử lý
DH1054,2025-02-01,Sách & VPP,Bút lông màu,49000,9,0,0,441000,441000,Cần Thơ,Online - Lazada,Ví điện tử (Momo/ZaloPay),Khách VIP,Hoàng Thị Hoa,Đã hủy
DH1047,2025-02-01,Gia dụng,Quạt để bàn,199000,11,20,437800,2189000,1751200,Nha Trang,Online - Tiki,COD,Khách thân thiết,Vũ Đức Huy,Hoàn tất
DH1017,2025-02-02,Thực phẩm,Cà phê rang xay,999000,9,20,1798200,8991000,7192800,Hà Nội,Cửa hàng trực tiếp,COD,Khách mới,Lê Minh Châu,Đã hủy
