student_id,faculty,major,year,semester,gpa,credits_registered,credits_passed,credits_failed,conduct_score,academic_status
SV0001,QTKD,Quản trị kinh doanh,2,1,0.74,18,15,3,91,Cảnh báo học vụ
SV0002,Điều dưỡng,Điều dưỡng,1,1,1.81,15,15,0,63,Bình thường
SV0003,Truyền thông,Truyền thông đa phương tiện,1,2,3.38,20,14,6,96,Bình thường
SV0004,Ngôn ngữ,Tiếng Trung,3,2,1.67,15,9,6,86,Bình thường
SV0005,Truyền thông,Truyền thông đa phương tiện,2,1,2.01,18,18,0,76,Bình thường
SV0006,QTKD,Quản trị kinh doanh,3,1,0.96,15,15,0,79,Cảnh báo học vụ
SV0007,Điều dưỡng,Điều dưỡng,3,1,0.72,15,15,0,76,Cảnh báo học vụ
SV0008,CNTT,CNTT,3,1,3.63,18,16,2,83,Bình thường
SV0009,Điều dưỡng,Điều dưỡng,3,2,2.94,22,20,2,85,Bình thường
SV0010,Điều dưỡng,Điều dưỡng,1,2,2.69,22,21,1,81,Bình thường
SV0011,Điều dưỡng,Điều dưỡng,2,1,3.8,15,8,7,67,Bình thường
SV0012,Truyền thông,Truyền thông đa phương tiện,4,1,3.57,15,10,5,99,Bình thường
SV0013,Điều dưỡng,Điều dưỡng,2,2,0.58,22,15,7,93,Cảnh báo học vụ
SV0014,Ngôn ngữ,Tiếng Trung,3,2,2.32,18,10,8,86,Bình thường
SV0015,Điều dưỡng,Điều dưỡng,3,2,1.08,18,16,2,67,Cảnh báo học vụ
SV0016,Truyền thông,Truyền thông đa phương tiện,2,2,2.33,15,9,6,60,Bình thường
SV0017,CNTT,Khoa học máy tính,1,1,2.89,18,13,5,68,Bình thường
SV0018,Ngôn ngữ,Tiếng Trung,1,1,2.34,15,12,3,99,Bình thường
SV0019,Ngôn ngữ,Tiếng Trung,3,1,1.83,22,14,8,63,Bình thường
SV0020,Điều dưỡng,Điều dưỡng,3,1,1.56,18,16,2,67,Cảnh báo học vụ
