student_id,course_code,course_name,credits,semester,status
SV0001,CSE493,AI,4,1,Đang học
SV0001,CSE164,CSDL,4,1,Học lại
SV0001,CSE211,AI,2,1,Hoàn thành
SV0001,CSE261,ERP,2,1,Học lại
SV0001,CSE233,Lập trình Python,4,1,Học lại
SV0001,CSE491,AI,4,1,Đang học
SV0002,CSE265,CSDL,2,1,Đang học
SV0002,CSE371,CSDL,4,1,Đang học
SV0002,CSE132,ERP,2,1,Học lại
SV0002,CSE366,CSDL,2,1,Học lại
SV0002,CSE360,CSDL,2,1,Đang học
SV0002,CSE383,HCI,4,1,Học lại
SV0003,CSE109,Lập trình Python,2,2,Hoàn thành
SV0003,CSE269,ERP,4,2,Học lại
SV0003,CSE269,AI,4,2,Học lại
SV0003,CSE115,CSDL,2,2,Học lại
SV0003,CSE499,Mạng máy tính,3,2,Đang học
SV0003,CSE149,Lập trình Python,2,2,Học lại
SV0003,CSE248,HCI,4,2,Học lại
SV0004,CSE231,ERP,2,2,Đang học
SV0004,CSE145,HCI,4,2,Hoàn thành
SV0004,CSE421,AI,4,2,Hoàn thành
SV0004,CSE214,ERP,3,2,Đang học
SV0005,CSE311,Mạng máy tính,4,1,Hoàn thành
SV0005,CSE246,HCI,2,1,Học lại
SV0005,CSE263,Mạng máy tính,4,1,Đang học
SV0005,CSE363,AI,4,1,Đang học
SV0005,CSE280,HCI,4,1,Học lại
SV0005,CSE279,ERP,4,1,Đang học
SV0005,CSE358,HCI,4,1,Đang học
SV0006,CSE247,Mạng máy tính,4,1,Hoàn thành
SV0006,CSE331,CSDL,2,1,Hoàn thành
SV0006,CSE308,HCI,3,1,Học lại
SV0006,CSE250,Lập trình Python,3,1,Hoàn thành
SV0006,CSE467,ERP,3,1,Đang học
SV0006,CSE412,Mạng máy tính,4,1,Hoàn thành
SV0006,CSE256,ERP,3,1,Đang học
SV0007,CSE363,ERP,2,1,Đang học
SV0007,CSE293,CSDL,2,1,Học lại
SV0007,CSE207,CSDL,4,1,Đang học
SV0007,CSE350,CSDL,2,1,Học lại
SV0007,CSE388,AI,2,1,Học lại
SV0007,CSE345,AI,3,1,Hoàn thành
SV0007,CSE135,AI,4,1,Học lại
SV0008,CSE173,ERP,2,1,Đang học
SV0008,CSE405,AI,4,1,Hoàn thành
SV0008,CSE363,Mạng máy tính,4,1,Học lại
SV0008,CSE323,CSDL,4,1,Đang học
SV0009,CSE418,AI,4,2,Hoàn thành
SV0009,CSE140,AI,2,2,Học lại
SV0009,CSE267,Lập trình Python,2,2,Hoàn thành
SV0009,CSE120,AI,4,2,Học lại
SV0009,CSE342,AI,4,2,Học lại
SV0010,CSE487,CSDL,2,2,Đang học
SV0010,CSE157,ERP,4,2,Hoàn thành
SV0010,CSE235,ERP,2,2,Hoàn thành
SV0010,CSE324,AI,3,2,Hoàn thành
SV0010,CSE185,HCI,2,2,Học lại
SV0010,CSE445,Lập trình Python,4,2,Đang học
SV0010,CSE266,CSDL,4,2,Hoàn thành
SV0011,CSE152,Lập trình Python,3,1,Hoàn thành
SV0011,CSE249,Mạng máy tính,2,1,Học lại
SV0011,CSE142,ERP,4,1,Hoàn thành
SV0011,CSE302,CSDL,2,1,Học lại
SV0011,CSE340,AI,2,1,Đang học
SV0011,CSE164,Mạng máy tính,3,1,Hoàn thành
SV0012,CSE418,Lập trình Python,2,1,Hoàn thành
SV0012,CSE406,Mạng máy tính,4,1,Hoàn thành
SV0012,CSE486,HCI,3,1,Đang học
SV0012,CSE230,CSDL,2,1,Học lại
SV0012,CSE117,HCI,2,1,Học lại
SV0013,CSE165,HCI,4,2,Hoàn thành
SV0013,CSE494,HCI,4,2,Học lại
SV0013,CSE204,HCI,3,2,Học lại
SV0013,CSE170,ERP,2,2,Học lại
SV0013,CSE112,Lập trình Python,4,2,Hoàn thành
SV0014,CSE126,Lập trình Python,3,2,Đang học
SV0014,CSE322,Lập trình Python,4,2,Học lại
SV0014,CSE299,AI,3,2,Học lại
SV0014,CSE470,CSDL,3,2,Đang học
SV0014,CSE239,Lập trình Python,2,2,Đang học
SV0014,CSE143,AI,2,2,Học lại
SV0014,CSE182,Lập trình Python,3,2,Học lại
SV0015,CSE432,ERP,3,2,Hoàn thành
SV0015,CSE178,CSDL,2,2,Hoàn thành
SV0015,CSE408,AI,2,2,Hoàn thành
SV0015,CSE330,AI,3,2,Hoàn thành
SV0015,CSE231,Lập trình Python,3,2,Đang học
SV0015,CSE244,CSDL,2,2,Hoàn thành
SV0015,CSE425,Mạng máy tính,3,2,Đang học
SV0016,CSE439,ERP,3,2,Đang học
SV0016,CSE466,CSDL,4,2,Đang học
SV0016,CSE135,ERP,4,2,Đang học
SV0016,CSE148,Lập trình Python,2,2,Học lại
SV0016,CSE152,ERP,4,2,Học lại
SV0016,CSE188,Mạng máy tính,4,2,Đang học
SV0017,CSE117,ERP,2,1,Đang học
SV0017,CSE218,CSDL,4,1,Học lại
SV0017,CSE311,Mạng máy tính,3,1,Đang học
SV0017,CSE130,HCI,2,1,Đang học
SV0017,CSE259,HCI,3,1,Học lại
SV0017,CSE139,HCI,2,1,Đang học
SV0017,CSE328,Lập trình Python,3,1,Đang học
SV0018,CSE419,HCI,2,1,Học lại
SV0018,CSE443,HCI,2,1,Học lại
