student_id,semester,tuition_fee,paid_amount,payment_status
SV0001,1,17100000,15600000,Còn nợ
SV0002,1,14250000,14250000,Đã thanh toán
SV0003,2,19000000,16000000,Còn nợ
SV0004,2,14250000,11250000,Còn nợ
SV0005,1,17100000,17100000,Đã thanh toán
SV0006,1,14250000,11250000,Còn nợ
SV0007,1,14250000,11250000,Còn nợ
SV0008,1,17100000,14100000,Còn nợ
SV0009,2,20900000,20900000,Đã thanh toán
SV0010,2,20900000,20900000,Đã thanh toán
SV0011,1,14250000,12750000,Còn nợ
SV0012,1,14250000,11250000,Còn nợ
SV0013,2,20900000,17900000,Còn nợ
SV0014,2,17100000,17100000,Đã thanh toán
SV0015,2,17100000,15600000,Còn nợ
SV0016,2,14250000,14250000,Đã thanh toán
SV0017,1,17100000,15600000,Còn nợ
SV0018,1,14250000,12750000,Còn nợ
SV0019,1,20900000,19400000,Còn nợ
SV0020,1,17100000,17100000,Đã thanh toán
SV0021,1,17100000,14100000,Còn nợ
SV0022,1,14250000,12750000,Còn nợ
SV0023,2,17100000,15600000,Còn nợ
SV0024,1,20900000,17900000,Còn nợ
SV0025,1,17100000,17100000,Đã thanh toán
SV0026,1,17100000,15600000,Còn nợ
SV0027,1,20900000,17900000,Còn nợ
SV0028,1,17100000,14100000,Còn nợ
SV0029,1,19000000,16000000,Còn nợ
SV0030,1,20900000,20900000,Đã thanh toán
SV0031,2,14250000,11250000,Còn nợ
SV0032,2,20900000,17900000,Còn nợ
SV0033,2,20900000,20900000,Đã thanh toán
SV0034,1,20900000,19400000,Còn nợ
SV0035,1,14250000,12750000,Còn nợ
SV0036,1,20900000,17900000,Còn nợ
SV0037,1,17100000,15600000,Còn nợ
SV0038,1,14250000,12750000,Còn nợ
SV0039,2,19000000,19000000,Đã thanh toán
SV0040,2,20900000,17900000,Còn nợ
SV0041,2,17100000,17100000,Đã thanh toán
SV0042,1,17100000,15600000,Còn nợ
SV0043,1,19000000,17500000,Còn nợ
SV0044,2,17100000,15600000,Còn nợ
SV0045,2,14250000,11250000,Còn nợ
SV0046,1,20900000,19400000,Còn nợ
SV0047,1,20900000,19400000,Còn nợ
SV0048,2,14250000,11250000,Còn nợ
SV0049,1,19000000,16000000,Còn nợ
SV0050,1,20900000,17900000,Còn nợ
SV0051,2,20900000,17900000,Còn nợ
SV0052,2,14250000,12750000,Còn nợ
SV0053,1,17100000,15600000,Còn nợ
SV0054,1,17100000,14100000,Còn nợ
SV0055,1,17100000,14100000,Còn nợ
SV0056,2,14250000,14250000,Đã thanh toán
SV0057,2,20900000,19400000,Còn nợ
SV0058,1,20900000,17900000,Còn nợ
SV0059,2,19000000,19000000,Đã thanh toán
SV0060,2,20900000,20900000,Đã thanh toán
SV0061,1,20900000,17900000,Còn nợ
SV0062,2,14250000,11250000,Còn nợ
SV0063,1,19000000,17500000,Còn nợ
SV0064,1,20900000,17900000,Còn nợ
SV0065,2,20900000,19400000,Còn nợ
SV0066,2,20900000,20900000,Đã thanh toán
SV0067,2,17100000,15600000,Còn nợ
SV0068,2,19000000,16000000,Còn nợ
SV0069,1,14250000,12750000,Còn nợ
SV0070,2,20900000,17900000,Còn nợ
SV0071,1,20900000,19400000,Còn nợ
SV0072,1,20900000,17900000,Còn nợ
SV0073,2,20900000,17900000,Còn nợ
SV0074,1,14250000,11250000,Còn nợ
SV0075,1,19000000,19000000,Đã thanh toán
SV0076,2,17100000,17100000,Đã thanh toán
SV0077,2,14250000,11250000,Còn nợ
SV0078,1,14250000,14250000,Đã thanh toán
SV0079,1,20900000,17900000,Còn nợ
SV0080,2,19000000,16000000,Còn nợ
SV0081,2,20900000,17900000,Còn nợ
SV0082,2,14250000,14250000,Đã thanh toán
SV0083,2,19000000,19000000,Đã thanh toán
SV0084,2,20900000,19400000,Còn nợ
SV0085,1,17100000,15600000,Còn nợ
SV0086,1,17100000,15600000,Còn nợ
SV0087,2,17100000,15600000,Còn nợ
SV0088,1,14250000,14250000,Đã thanh toán
SV0089,2,17100000,17100000,Đã thanh toán
SV0090,1,20900000,20900000,Đã thanh toán
SV0091,2,20900000,19400000,Còn nợ
SV0092,2,20900000,17900000,Còn nợ
SV0093,1,19000000,16000000,Còn nợ
SV0094,2,17100000,15600000,Còn nợ
SV0095,1,19000000,17500000,Còn nợ
SV0096,2,19000000,17500000,Còn nợ
SV0097,2,14250000,14250000,Đã thanh toán
SV0098,1,14250000,12750000,Còn nợ
SV0099,1,19000000,16000000,Còn nợ
SV0100,1,14250000,12750000,Còn nợ
SV0101,2,20900000,19400000,Còn nợ
SV0102,1,20900000,20900000,Đã thanh toán
SV0103,2,19000000,17500000,Còn nợ
SV0104,2,20900000,19400000,Còn nợ
SV0105,2,17100000,15600000,Còn nợ
SV0106,2,17100000,14100000,Còn nợ
SV0107,1,20900000,20900000,Đã thanh toán
SV0108,1,20900000,19400000,Còn nợ
SV0109,1,14250000,14250000,Đã thanh toán
SV0110,2,14250000,12750000,Còn nợ
SV0111,2,20900000,20900000,Đã thanh toán
SV0112,1,14250000,12750000,Còn nợ
SV0113,1,20900000,19400000,Còn nợ
SV0114,2,14250000,12750000,Còn nợ
SV0115,2,20900000,19400000,Còn nợ
SV0116,1,17100000,17100000,Đã thanh toán
SV0117,1,20900000,17900000,Còn nợ
SV0118,2,20900000,19400000,Còn nợ
SV0119,2,14250000,14250000,Đã thanh toán
SV0120,2,20900000,17900000,Còn nợ
SV0121,2,17100000,17100000,Đã thanh toán
SV0122,1,14250000,11250000,Còn nợ
SV0123,1,14250000,11250000,Còn nợ
SV0124,2,14250000,14250000,Đã thanh toán
SV0125,2,17100000,17100000,Đã thanh toán
SV0126,2,14250000,14250000,Đã thanh toán
SV0127,2,14250000,14250000,Đã thanh toán
SV0128,2,17100000,15600000,Còn nợ
SV0129,2,19000000,19000000,Đã thanh toán
SV0130,2,19000000,16000000,Còn nợ
SV0131,1,20900000,19400000,Còn nợ
SV0132,2,14250000,11250000,Còn nợ
SV0133,1,19000000,19000000,Đã thanh toán
SV0134,2,17100000,15600000,Còn nợ
SV0135,2,17100000,15600000,Còn nợ
SV0136,1,14250000,14250000,Đã thanh toán
SV0137,1,19000000,17500000,Còn nợ
SV0138,1,14250000,12750000,Còn nợ
SV0139,1,17100000,17100000,Đã thanh toán
SV0140,1,14250000,11250000,Còn nợ
SV0141,2,17100000,15600000,Còn nợ
SV0142,1,20900000,17900000,Còn nợ
SV0143,2,20900000,17900000,Còn nợ
SV0144,1,19000000,16000000,Còn nợ
SV0145,2,19000000,19000000,Đã thanh toán
SV0146,1,19000000,17500000,Còn nợ
SV0147,2,14250000,14250000,Đã thanh toán
SV0148,1,19000000,17500000,Còn nợ
SV0149,2,14250000,12750000,Còn nợ
SV0150,1,20900000,17900000,Còn nợ
SV0151,1,17100000,17100000,Đã thanh toán
SV0152,1,19000000,19000000,Đã thanh toán
SV0153,2,19000000,16000000,Còn nợ
SV0154,2,17100000,17100000,Đã thanh toán
SV0155,1,17100000,15600000,Còn nợ
SV0156,2,19000000,17500000,Còn nợ
SV0157,1,19000000,16000000,Còn nợ
SV0158,1,20900000,20900000,Đã thanh toán
SV0159,1,14250000,11250000,Còn nợ
SV0160,2,17100000,17100000,Đã thanh toán
SV0161,2,20900000,20900000,Đã thanh toán
SV0162,2,14250000,12750000,Còn nợ
SV0163,1,17100000,17100000,Đã thanh toán
SV0164,1,20900000,17900000,Còn nợ
SV0165,1,14250000,12750000,Còn nợ
SV0166,1,20900000,20900000,Đã thanh toán
SV0167,2,19000000,16000000,Còn nợ
SV0168,2,17100000,15600000,Còn nợ
SV0169,2,19000000,19000000,Đã thanh toán
SV0170,1,17100000,15600000,Còn nợ
SV0171,1,17100000,14100000,Còn nợ
SV0172,1,17100000,17100000,Đã thanh toán
SV0173,1,14250000,11250000,Còn nợ
SV0174,1,20900000,20900000,Đã thanh toán
SV0175,2,14250000,14250000,Đã thanh toán
SV0176,2,14250000,12750000,Còn nợ
SV0177,1,19000000,17500000,Còn nợ
SV0178,1,20900000,17900000,Còn nợ
SV0179,2,19000000,19000000,Đã thanh toán
SV0180,2,14250000,12750000,Còn nợ
SV0181,1,14250000,12750000,Còn nợ
SV0182,2,20900000,20900000,Đã thanh toán
SV0183,2,14250000,12750000,Còn nợ
SV0184,1,17100000,15600000,Còn nợ
SV0185,1,14250000,11250000,Còn nợ
SV0186,2,19000000,19000000,Đã thanh toán
SV0187,1,17100000,14100000,Còn nợ
SV0188,1,20900000,19400000,Còn nợ
SV0189,1,14250000,11250000,Còn nợ
SV0190,1,20900000,19400000,Còn nợ
SV0191,2,19000000,17500000,Còn nợ
SV0192,1,20900000,20900000,Đã thanh toán
SV0193,1,17100000,15600000,Còn nợ
SV0194,1,20900000,20900000,Đã thanh toán
SV0195,2,17100000,15600000,Còn nợ
SV0196,2,19000000,16000000,Còn nợ
SV0197,2,14250000,11250000,Còn nợ
SV0198,1,20900000,20900000,Đã thanh toán
SV0199,1,19000000,17500000,Còn nợ
SV0200,1,14250000,11250000,Còn nợ
SV0201,2,17100000,14100000,Còn nợ
SV0202,1,17100000,15600000,Còn nợ
SV0203,1,19000000,16000000,Còn nợ
SV0204,1,14250000,12750000,Còn nợ
SV0205,2,19000000,19000000,Đã thanh toán
SV0206,1,14250000,14250000,Đã thanh toán
SV0207,1,20900000,20900000,Đã thanh toán
SV0208,2,17100000,15600000,Còn nợ
SV0209,1,14250000,12750000,Còn nợ
SV0210,2,17100000,15600000,Còn nợ
SV0211,2,19000000,19000000,Đã thanh toán
SV0212,2,19000000,16000000,Còn nợ
SV0213,2,14250000,14250000,Đã thanh toán
SV0214,1,17100000,14100000,Còn nợ
SV0215,1,14250000,14250000,Đã thanh toán
SV0216,2,19000000,16000000,Còn nợ
SV0217,2,14250000,14250000,Đã thanh toán
SV0218,1,17100000,15600000,Còn nợ
SV0219,2,17100000,17100000,Đã thanh toán
SV0220,2,17100000,14100000,Còn nợ
SV0221,2,20900000,17900000,Còn nợ
SV0222,2,19000000,19000000,Đã thanh toán
SV0223,1,19000000,16000000,Còn nợ
SV0224,1,20900000,19400000,Còn nợ
SV0225,2,19000000,16000000,Còn nợ
SV0226,1,17100000,14100000,Còn nợ
SV0227,2,20900000,17900000,Còn nợ
SV0228,1,17100000,15600000,Còn nợ
SV0229,2,14250000,11250000,Còn nợ
SV0230,1,20900000,20900000,Đã thanh toán
SV0231,2,14250000,14250000,Đã thanh toán
SV0232,1,14250000,11250000,Còn nợ
SV0233,2,14250000,11250000,Còn nợ
SV0234,1,17100000,15600000,Còn nợ
SV0235,1,19000000,17500000,Còn nợ
SV0236,1,20900000,17900000,Còn nợ
SV0237,1,19000000,17500000,Còn nợ
SV0238,1,17100000,17100000,Đã thanh toán
SV0239,1,20900000,17900000,Còn nợ
SV0240,2,14250000,11250000,Còn nợ
SV0241,2,20900000,20900000,Đã thanh toán
SV0242,1,19000000,19000000,Đã thanh toán
SV0243,1,14250000,11250000,Còn nợ
SV0244,2,17100000,17100000,Đã thanh toán
SV0245,1,20900000,20900000,Đã thanh toán
SV0246,2,14250000,11250000,Còn nợ
SV0247,1,17100000,17100000,Đã thanh toán
SV0248,2,20900000,17900000,Còn nợ
SV0249,2,14250000,11250000,Còn nợ
SV0250,1,17100000,17100000,Đã thanh toán
