student_id,gpa,conduct_score,scholarship_type,approved
SV0001,0.74,91,,Không
SV0002,1.81,63,,Không
SV0003,3.38,96,Khuyến khích học tập,Có
SV0004,1.67,86,,Không
SV0005,2.01,76,,Không
SV0006,0.96,79,,Không
SV0007,0.72,76,,Không
SV0008,3.63,83,Khuyến khích học tập,Có
SV0009,2.94,85,,Không
SV0010,2.69,81,,Không
SV0011,3.8,67,,Không
SV0012,3.57,99,Khuyến khích học tập,Có
SV0013,0.58,93,,Không
SV0014,2.32,86,,Không
SV0015,1.08,67,,Không
SV0016,2.33,60,,Không
SV0017,2.89,68,,Không
SV0018,2.34,99,,Không
SV0019,1.83,63,,Không
SV0020,1.56,67,,Không
SV0021,3.16,77,,Không
SV0022,0.7,89,,Không
SV0023,1.9,81,,Không
SV0024,0.68,93,,Không
SV0025,1.06,73,,Không
SV0026,1.95,70,,Không
SV0027,1.62,70,,Không
SV0028,1.66,91,,Không
SV0029,1.26,85,,Không
SV0030,3.09,62,,Không
SV0031,1.53,93,,Không
SV0032,2.56,74,,Không
SV0033,3.77,66,,Không
SV0034,0.55,90,,Không
SV0035,1.27,74,,Không
SV0036,1.31,93,,Không
SV0037,2.65,61,,Không
SV0038,2.08,72,,Không
SV0039,2.52,81,,Không
SV0040,1.95,70,,Không
SV0041,0.54,72,,Không
SV0042,3.21,62,,Không
SV0043,2.88,88,,Không
SV0044,1.86,69,,Không
SV0045,3.94,68,,Không
SV0046,2.43,66,,Không
SV0047,2.11,70,,Không
SV0048,3.09,78,,Không
SV0049,0.81,86,,Không
SV0050,0.96,99,,Không
SV0051,3.15,89,,Không
SV0052,1.56,68,,Không
SV0053,2.85,79,,Không
SV0054,2.06,70,,Không
SV0055,0.63,75,,Không
SV0056,0.85,83,,Không
SV0057,2.21,70,,Không
SV0058,0.67,75,,Không
SV0059,3.12,84,,Không
SV0060,3.97,89,Khuyến khích học tập,Có
SV0061,2.67,92,,Không
SV0062,2.16,91,,Không
SV0063,1.96,74,,Không
SV0064,3.33,90,Khuyến khích học tập,Có
SV0065,1.84,66,,Không
SV0066,3.75,86,Khuyến khích học tập,Có
SV0067,1.06,66,,Không
SV0068,3.22,87,Khuyến khích học tập,Có
SV0069,2.91,73,,Không
SV0070,1.43,96,,Không
SV0071,3.67,72,,Không
SV0072,2.0,75,,Không
SV0073,2.61,62,,Không
SV0074,1.6,80,,Không
SV0075,3.45,93,Khuyến khích học tập,Có
SV0076,1.19,64,,Không
SV0077,2.99,91,,Không
SV0078,2.93,98,,Không
SV0079,1.6,100,,Không
SV0080,1.44,75,,Không
SV0081,1.2,85,,Không
SV0082,1.36,67,,Không
SV0083,2.5,89,,Không
SV0084,2.63,60,,Không
SV0085,2.0,80,,Không
SV0086,3.31,75,,Không
SV0087,0.64,70,,Không
SV0088,1.02,90,,Không
SV0089,3.69,64,,Không
SV0090,3.39,99,Khuyến khích học tập,Có
SV0091,1.06,83,,Không
SV0092,0.68,70,,Không
SV0093,3.32,76,,Không
SV0094,3.52,80,Khuyến khích học tập,Có
SV0095,3.73,62,,Không
SV0096,3.94,90,Khuyến khích học tập,Có
SV0097,3.67,63,,Không
SV0098,3.73,91,Khuyến khích học tập,Có
SV0099,3.82,90,Khuyến khích học tập,Có
SV0100,2.56,62,,Không
SV0101,3.85,75,,Không
SV0102,1.9,90,,Không
SV0103,2.86,61,,Không
SV0104,3.73,97,Khuyến khích học tập,Có
SV0105,1.99,83,,Không
SV0106,2.55,64,,Không
SV0107,1.79,75,,Không
SV0108,0.58,62,,Không
SV0109,2.03,79,,Không
SV0110,3.35,60,,Không
SV0111,0.98,66,,Không
SV0112,2.84,62,,Không
SV0113,2.65,73,,Không
SV0114,1.69,87,,Không
SV0115,1.52,96,,Không
SV0116,1.35,83,,Không
SV0117,1.3,86,,Không
SV0118,1.99,96,,Không
SV0119,3.39,60,,Không
SV0120,1.95,85,,Không
SV0121,0.71,74,,Không
SV0122,1.08,85,,Không
SV0123,1.73,76,,Không
SV0124,1.93,81,,Không
SV0125,2.03,93,,Không
SV0126,3.1,81,,Không
SV0127,3.06,82,,Không
SV0128,0.88,95,,Không
SV0129,3.23,89,Khuyến khích học tập,Có
SV0130,2.72,73,,Không
SV0131,1.07,89,,Không
SV0132,0.92,61,,Không
SV0133,0.52,75,,Không
SV0134,3.78,91,Khuyến khích học tập,Có
SV0135,3.17,60,,Không
SV0136,2.27,70,,Không
SV0137,3.64,98,Khuyến khích học tập,Có
SV0138,3.77,64,,Không
SV0139,3.99,98,Khuyến khích học tập,Có
SV0140,2.41,94,,Không
SV0141,3.49,86,Khuyến khích học tập,Có
SV0142,1.93,82,,Không
SV0143,2.49,78,,Không
SV0144,3.25,93,Khuyến khích học tập,Có
SV0145,2.25,97,,Không
SV0146,3.93,69,,Không
SV0147,2.97,95,,Không
SV0148,2.43,61,,Không
SV0149,3.24,99,Khuyến khích học tập,Có
SV0150,3.5,96,Khuyến khích học tập,Có
SV0151,3.53,61,,Không
SV0152,3.36,79,,Không
SV0153,2.73,77,,Không
SV0154,3.46,71,,Không
SV0155,2.53,94,,Không
SV0156,3.25,78,,Không
SV0157,0.71,79,,Không
SV0158,3.88,78,,Không
SV0159,0.51,71,,Không
SV0160,0.76,64,,Không
SV0161,3.65,61,,Không
SV0162,1.96,69,,Không
