transaction_id,transaction_date,branch,account_type,transaction_type,channel,customer_segment,status,risk_level,risk_score,amount,transaction_fee,account_balance,monthly_income,credit_score
TXN0001,2026-01-01,Can Tho,Current,Transfer,POS,Premium,Completed,Medium,44,10891858.77,38121.51,239070019.72,39274465.77,690
TXN0002,2026-01-02,Ha Noi,Credit,Loan Repayment,Branch,SME,Pending,Low,24,9520799.33,9520.8,229539699.59,88385130.07,620
TXN0003,2026-01-03,Hai Phong,Investment,Withdrawal,ATM,Corporate,Completed,Low,31,5255844.31,10511.69,224273343.59,154684927.42,693
TXN0004,2026-01-04,Da Nang,Savings,Payment,Internet Banking,Retail,Completed,Low,26,4446833.22,6670.25,219819840.12,21513361.52,617
TXN0005,2026-01-05,Ho Chi Minh,Current,Deposit,Mobile App,Premium,Completed,Medium,41,17653162.4,0.0,237473002.52,37598117.62,708
TXN0006,2026-01-06,Can Tho,Credit,Transfer,Mobile App,SME,Completed,Low,23,8782667.64,30739.34,228659595.54,109450971.13,661
TXN0007,2026-01-07,Ha Noi,Savings,Loan Repayment,POS,Corporate,Completed,Medium,50,11354880.8,11354.88,217293359.86,231338460.63,661
TXN0008,2026-01-08,Hai Phong,Current,Withdrawal,Branch,Retail,Completed,Low,32,8091787.17,16183.57,209185389.12,22030898.31,653
TXN0009,2026-01-09,Da Nang,Credit,Loan Repayment,ATM,Premium,Completed,Medium,43,10751962.17,10751.96,198422674.99,40912352.1,645
TXN0010,2026-01-10,Ho Chi Minh,Investment,Withdrawal,Internet Banking,SME,Completed,Low,22,5875271.99,11750.54,192535652.46,98966379.99,645
TXN0011,2026-01-11,Can Tho,Savings,Payment,Mobile App,Retail,Completed,Low,19,4075523.18,6113.28,188454016.0,22772880.42,667
TXN0012,2026-01-12,Ha Noi,Current,Deposit,Mobile App,Premium,Completed,Medium,47,16345565.22,0.0,204799581.22,37794211.72,663
TXN0013,2026-01-13,Hai Phong,Credit,Transfer,POS,SME,Completed,Medium,58,16396898.53,57389.14,188345293.55,101388405.42,653
TXN0014,2026-01-14,Da Nang,Savings,Loan Repayment,Branch,Corporate,Completed,Low,26,11837483.5,11837.48,176495972.57,166229851.76,670
TXN0015,2026-01-15,Ho Chi Minh,Current,Withdrawal,ATM,Retail,Pending,Medium,49,5914663.54,11829.33,170569479.7,16615311.02,646
TXN0016,2026-01-16,Can Tho,Credit,Payment,Internet Banking,Premium,Pending,Low,23,4311151.73,6466.73,166251861.24,40305784.12,671
TXN0017,2026-01-17,Ha Noi,Investment,Deposit,Mobile App,SME,Completed,Medium,43,16033441.37,0.0,182285302.61,111942232.74,632
TXN0018,2026-01-18,Hai Phong,Savings,Payment,Mobile App,Corporate,Failed,Medium,41,3517473.64,5276.21,178762552.76,144000031.81,644
TXN0019,2026-01-19,Da Nang,Current,Deposit,POS,Retail,Completed,Medium,53,9520047.33,0.0,188282600.09,17679383.67,602
TXN0020,2026-01-20,Ho Chi Minh,Credit,Transfer,Branch,Premium,Failed,Medium,51,10066691.06,35233.42,178180675.61,57784189.85,694
TXN0021,2026-01-21,Can Tho,Savings,Loan Repayment,ATM,SME,Completed,Medium,44,5041088.56,5041.09,173134545.96,94080031.36,622
TXN0022,2026-01-22,Ha Noi,Current,Withdrawal,Internet Banking,Retail,Completed,Low,30,9228492.37,18456.98,163887596.61,17991864.69,680
TXN0023,2026-01-23,Hai Phong,Credit,Payment,Mobile App,Premium,Completed,Low,27,6424650.39,9636.98,157453309.24,38171634.04,714
TXN0024,2026-01-24,Da Nang,Investment,Deposit,Mobile App,SME,Completed,Medium,50,20080951.01,0.0,177534260.25,97644025.47,610
TXN0025,2026-01-25,Ho Chi Minh,Savings,Transfer,POS,Corporate,Completed,Medium,59,13809436.29,48333.03,163676490.93,187505013.55,628
TXN0026,2026-01-26,Can Tho,Current,Loan Repayment,Branch,Retail,Completed,Low,37,7597728.82,7597.73,156071164.38,22199346.59,667
TXN0027,2026-01-27,Ha Noi,Credit,Transfer,ATM,Premium,Completed,Medium,53,8856681.45,30998.39,147183484.54,57186998.77,638
TXN0028,2026-01-28,Hai Phong,Savings,Loan Repayment,Internet Banking,SME,Completed,Low,36,8821327.23,8821.33,138353335.98,105408804.25,618
TXN0029,2026-01-29,Da Nang,Current,Withdrawal,Mobile App,Corporate,Completed,Low,24,7478389.91,14956.78,130859989.29,221370871.07,682
TXN0030,2026-01-30,Ho Chi Minh,Credit,Payment,Mobile App,Retail,Completed,Low,27,3208085.65,4812.13,127647091.51,15491395.53,637
TXN0031,2026-01-31,Can Tho,Investment,Deposit,POS,Premium,Completed,Medium,62,20277661.03,0.0,147924752.54,46560002.07,635
TXN0032,2026-02-01,Ha Noi,Savings,Transfer,Branch,SME,Completed,Low,31,7519630.92,26318.71,140378802.91,78890679.26,628
TXN0033,2026-02-02,Hai Phong,Current,Loan Repayment,ATM,Retail,Completed,Low,35,4950865.8,4950.87,135422986.24,22463658.13,670
